"A2GUIBackground::A2GUIBackground","","C:\Users\Leon\source\repos\OpenToshi\Shared\Source\A2GUI\A2GUIBackground.h","20"
"A2GUIBackground::Create","const char * fileName","C:\Users\Leon\source\repos\OpenToshi\Shared\Source\A2GUI\A2GUIBackground.cpp","7"
"A2GUIBackground::Destroy","","C:\Users\Leon\source\repos\OpenToshi\Shared\Source\A2GUI\A2GUIBackground.cpp","121"
"A2GUIBackground::LoadMaterialLibrary","const char * fileName","C:\Users\Leon\source\repos\OpenToshi\Shared\Source\A2GUI\A2GUIBackground.cpp","15"
"A2GUIBackground::SetupBackground","","C:\Users\Leon\source\repos\OpenToshi\Shared\Source\A2GUI\A2GUIBackground.cpp","34"
"A2GUIBackground::~A2GUIBackground","","C:\Users\Leon\source\repos\OpenToshi\Shared\Source\A2GUI\A2GUIBackground.h","26"
"A2GUIRenderer::A2GUIRenderer","","C:\Users\Leon\source\repos\OpenToshi\Shared\Source\Platform\DX11\A2GUI\A2GUIRenderer_DX11.cpp","13"
"A2GUIRenderer::BeginScene","","C:\Users\Leon\source\repos\OpenToshi\Shared\Source\Platform\DX11\A2GUI\A2GUIRenderer_DX11.cpp","39"
"A2GUIRenderer::ClearScissors","","C:\Users\Leon\source\repos\OpenToshi\Shared\Source\Platform\DX11\A2GUI\A2GUIRenderer_DX11.cpp","413"
"A2GUIRenderer::CreateMaterial","TTexture * pTex","C:\Users\Leon\source\repos\OpenToshi\Shared\Source\Platform\DX11\A2GUI\A2GUIRenderer_DX11.cpp","423"
"A2GUIRenderer::CreateMaterial","const char * texName","C:\Users\Leon\source\repos\OpenToshi\Shared\Source\Platform\DX11\A2GUI\A2GUIRenderer_DX11.cpp","418"
"A2GUIRenderer::DestroyMaterial","T2GUIMaterial * pMat","C:\Users\Leon\source\repos\OpenToshi\Shared\Source\Platform\DX11\A2GUI\A2GUIRenderer_DX11.cpp","432"
"A2GUIRenderer::EndScene","","C:\Users\Leon\source\repos\OpenToshi\Shared\Source\Platform\DX11\A2GUI\A2GUIRenderer_DX11.cpp","74"
"A2GUIRenderer::GetHeight","Toshi::T2GUIMaterial * pMat","C:\Users\Leon\source\repos\OpenToshi\Shared\Source\Platform\DX11\A2GUI\A2GUIRenderer_DX11.cpp","455"
"A2GUIRenderer::GetTexture","const char * texName","C:\Users\Leon\source\repos\OpenToshi\Shared\Source\Platform\DX11\A2GUI\A2GUIRenderer_DX11.cpp","27"
